,epoch,lossTr,diceTr,lossVa,diceVa
0,1,0.06576241751511892,0.9342377781867981,0.1271398365497589,0.8728601932525635
1,2,0.05730619351069133,0.9426937103271484,0.127640500664711,0.872359573841095
2,3,0.06362046112616856,0.9363799095153809,0.10411342233419418,0.8958866596221924
3,4,0.048896119197209674,0.951103925704956,0.1068408340215683,0.893159031867981
4,5,0.04432075927654902,0.9556792378425598,0.12227912992238998,0.8777205944061279
5,6,0.047250384191672004,0.9527496695518494,0.19798649847507477,0.8020132780075073
6,7,0.046942725280920666,0.9530567526817322,0.1377502977848053,0.8622496724128723
7,8,0.05109452337026596,0.9489054679870605,0.10482686012983322,0.8951733112335205
8,9,0.03827195773522059,0.9617279171943665,0.10326305031776428,0.8967368602752686
9,10,0.03466685116291046,0.9653334021568298,0.10504443943500519,0.8949558138847351
10,11,0.03406943867603938,0.9659309387207031,0.10702729225158691,0.8929728269577026
11,12,0.03372562994559606,0.9662744402885437,0.10600137710571289,0.8939986824989319
12,13,0.03547455062468847,0.9645251631736755,0.12097517400979996,0.8790248036384583
13,14,0.03415861984093984,0.9658415913581848,0.1002986878156662,0.8997010588645935
14,15,0.03143138647079468,0.9685686230659485,0.0960918590426445,0.9039080142974854
15,16,0.02918214162190755,0.9708182215690613,0.10519526153802872,0.8948047161102295
16,17,0.028879940807819367,0.9711202383041382,0.09480085968971252,0.9051991701126099
17,18,0.032086954911549885,0.967913031578064,0.10180152952671051,0.8981986045837402
18,19,0.02636194407939911,0.973638117313385,0.09451726078987122,0.9054827690124512
19,20,0.026750320692857106,0.973249614238739,0.10287085920572281,0.8971292972564697
20,21,0.025247547825177512,0.9747531414031982,0.10514888167381287,0.8948508501052856
21,22,0.02474732240041097,0.9752528071403503,0.10523048788309097,0.8947691321372986
